Grid size:            4           8           4
Rayleigh Number:      0.1780E+04
Prandtl Number:      0.7005E+01
delta_T:      0.4324E+00
SIMPLER Algorithm Duration:     0.4068E-02
SIMPLER Algorithm Start:     0.8236E-02
 Solver #:           3
 v_sol1, p_sol1, conv1, v_sol2, p_sol2, v_cor1, t_sol1
 0.11000E-04, 0.31000E-04, 0.38000E-04, 0.43000E-04, 0.28000E-04, 0.30000E-05, 0.13000E-04
 0.40000E-05, 0.27000E-04, 0.20000E-04, 0.42000E-04, 0.26000E-04, 0.10000E-05, 0.11000E-04
 0.40000E-05, 0.27000E-04, 0.19000E-04, 0.38000E-04, 0.26000E-04, 0.10000E-05, 0.11000E-04
 0.40000E-05, 0.27000E-04, 0.19000E-04, 0.39000E-04, 0.26000E-04, 0.20000E-05, 0.11000E-04
 0.50000E-05, 0.27000E-04, 0.20000E-04, 0.37000E-04, 0.26000E-04, 0.20000E-05, 0.11000E-04
 0.40000E-05, 0.27000E-04, 0.24000E-04, 0.34000E-04, 0.27000E-04, 0.20000E-05, 0.10000E-04
 0.50000E-05, 0.27000E-04, 0.22000E-04, 0.37000E-04, 0.26000E-04, 0.20000E-05, 0.80000E-05
 0.50000E-05, 0.27000E-04, 0.23000E-04, 0.33000E-04, 0.27000E-04, 0.20000E-05, 0.70000E-05
 0.40000E-05, 0.28000E-04, 0.57000E-04, 0.35000E-04, 0.25000E-04, 0.20000E-05, 0.70000E-05
 0.50000E-05, 0.26000E-04, 0.23000E-04, 0.23000E-04, 0.25000E-04, 0.20000E-05, 0.70000E-05
 0.40000E-05, 0.26000E-04, 0.18000E-04, 0.21000E-04, 0.25000E-04, 0.20000E-05, 0.60000E-05
 0.40000E-05, 0.26000E-04, 0.17000E-04, 0.20000E-04, 0.26000E-04, 0.10000E-05, 0.70000E-05
 0.50000E-05, 0.26000E-04, 0.23000E-04, 0.16000E-04, 0.25000E-04, 0.20000E-05, 0.50000E-05
 0.40000E-05, 0.27000E-04, 0.23000E-04, 0.15000E-04, 0.25000E-04, 0.20000E-05, 0.50000E-05
 0.50000E-05, 0.26000E-04, 0.24000E-04, 0.12000E-04, 0.25000E-04, 0.20000E-05, 0.30000E-05
 0.40000E-05, 0.26000E-04, 0.24000E-04, 0.12000E-04, 0.25000E-04, 0.20000E-05, 0.40000E-05
 0.40000E-05, 0.26000E-04, 0.18000E-04, 0.90000E-05, 0.25000E-04, 0.20000E-05, 0.30000E-05
 0.40000E-05, 0.26000E-04, 0.23000E-04, 0.70000E-05, 0.26000E-04, 0.20000E-05, 0.40000E-05
 0.40000E-05, 0.27000E-04, 0.22000E-04, 0.10000E-04, 0.25000E-04, 0.20000E-05, 0.40000E-05
 0.40000E-05, 0.26000E-04, 0.19000E-04, 0.80000E-05, 0.25000E-04, 0.20000E-05, 0.30000E-05
 0.50000E-05, 0.26000E-04, 0.18000E-04, 0.10000E-04, 0.26000E-04, 0.10000E-05, 0.90000E-05
 0.40000E-05, 0.27000E-04, 0.17000E-04, 0.70000E-05, 0.27000E-04, 0.10000E-05, 0.40000E-05
 0.50000E-05, 0.26000E-04, 0.19000E-04, 0.10000E-04, 0.26000E-04, 0.10000E-05, 0.40000E-05
 0.40000E-05, 0.27000E-04, 0.25000E-04, 0.70000E-05, 0.26000E-04, 0.20000E-05, 0.40000E-05
 0.40000E-05, 0.27000E-04,-0.12270E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
