Grid size:            8          16           8
Rayleigh Number:      0.1780E+04
Prandtl Number:      0.7005E+01
delta_T:      0.4324E+00
SIMPLER Algorithm Duration:     0.1323E+01
 Solver #:           2
 R_c, dR_c, R_e, dR_e
 0.48252E-02, 0.29480E-02, 0.19995E-04, 0.91182E-02
 0.48391E-02, 0.28851E-02, 0.19430E-04, 0.29064E-01
 0.48528E-02, 0.28212E-02, 0.19228E-04, 0.10547E-01
 0.48663E-02, 0.27591E-02, 0.18688E-04, 0.28860E-01
 0.48794E-02, 0.26962E-02, 0.18466E-04, 0.12021E-01
 0.48923E-02, 0.26350E-02, 0.17948E-04, 0.28879E-01
 0.49049E-02, 0.25732E-02, 0.17704E-04, 0.13757E-01
 0.49173E-02, 0.25131E-02, 0.17206E-04, 0.28989E-01
 0.49294E-02, 0.24525E-02, 0.16942E-04, 0.15568E-01
 0.49412E-02, 0.23937E-02, 0.16465E-04, 0.28958E-01
 0.49528E-02, 0.23343E-02, 0.16184E-04, 0.17347E-01
 0.49641E-02, 0.22770E-02, 0.15730E-04, 0.28902E-01
 0.49751E-02, 0.22191E-02, 0.15436E-04, 0.19015E-01
 0.49859E-02, 0.21632E-02, 0.15003E-04, 0.28897E-01
 0.49964E-02, 0.21069E-02, 0.14701E-04, 0.20523E-01
 0.50067E-02, 0.20511E-02, 0.14169E-04, 0.37536E-01
 0.50167E-02, 0.19965E-02, 0.13486E-04, 0.50661E-01
 0.50265E-02, 0.19430E-02, 0.13436E-04, 0.37339E-02
 0.50360E-02, 0.18903E-02, 0.12831E-04, 0.47086E-01
 0.50453E-02, 0.18390E-02, 0.12788E-04, 0.33893E-02
 0.50543E-02, 0.17880E-02, 0.12176E-04, 0.50276E-01
 0.50631E-02, 0.17390E-02, 0.12133E-04, 0.35520E-02
 0.50717E-02, 0.16899E-02, 0.11521E-04, 0.53119E-01
 0.50800E-02, 0.16422E-02, 0.11472E-04, 0.42973E-02
 0.50881E-02, 0.15954E-02, 0.10959E-04, 0.46811E-01
 0.50960E-02, 0.15497E-02, 0.10800E-04, 0.14685E-01
 0.51037E-02, 0.15049E-02, 0.10421E-04, 0.36399E-01
 0.51112E-02, 0.14612E-02, 0.10142E-04, 0.27495E-01
 0.51184E-02, 0.14183E-02, 0.99134E-05, 0.23048E-01
 0.51255E-02, 0.13765E-02, 0.95430E-05, 0.38813E-01
 0.51324E-02, 0.13353E-02, 0.94220E-05, 0.12839E-01
 0.51390E-02, 0.12956E-02, 0.90553E-05, 0.40500E-01
 0.51455E-02, 0.12568E-02, 0.89379E-05, 0.13137E-01
 0.51518E-02, 0.12190E-02, 0.85768E-05, 0.42099E-01
 0.51579E-02, 0.11820E-02, 0.84607E-05, 0.13725E-01
 0.51638E-02, 0.11460E-02, 0.81084E-05, 0.43445E-01
 0.51695E-02, 0.11107E-02, 0.79931E-05, 0.14432E-01
 0.51751E-02, 0.10766E-02, 0.76518E-05, 0.44598E-01
 0.51805E-02, 0.10431E-02, 0.75381E-05, 0.15077E-01
 0.51857E-02, 0.10106E-02, 0.72096E-05, 0.45576E-01
 0.51908E-02, 0.97887E-03, 0.70986E-05, 0.15632E-01
 0.51957E-02, 0.94750E-03, 0.72777E-05, 0.24611E-01
 0.52005E-02, 0.91470E-03, 0.66942E-05, 0.87161E-01
 0.52051E-02, 0.88729E-03, 0.66075E-05, 0.13122E-01
 0.52096E-02, 0.85922E-03, 0.64014E-05, 0.32197E-01
 0.52139E-02, 0.83000E-03, 0.61648E-05, 0.38377E-01
 0.52181E-02, 0.80395E-03, 0.60609E-05, 0.17143E-01
 0.52222E-02, 0.77795E-03, 0.57473E-05, 0.54566E-01
 0.52261E-02, 0.75297E-03, 0.57120E-05, 0.61770E-02
 0.52299E-02, 0.72777E-03, 0.53813E-05, 0.61463E-01
 0.52336E-02, 0.70472E-03, 0.53990E-05, 0.32805E-02
 0.52372E-02, 0.68031E-03, 0.50335E-05, 0.72603E-01
 0.52406E-02, 0.65931E-03, 0.50781E-05, 0.87839E-02
 0.52440E-02, 0.63668E-03, 0.47334E-05, 0.72838E-01
 0.52472E-02, 0.61645E-03, 0.47799E-05, 0.97310E-02
 0.52503E-02, 0.59539E-03, 0.44466E-05, 0.74954E-01
 0.52533E-02, 0.57626E-03, 0.44964E-05, 0.11074E-01
 0.52563E-02, 0.55259E-03, 0.44750E-05, 0.47771E-02
 0.52591E-02, 0.53753E-03, 0.41345E-05, 0.82372E-01
 0.52618E-02, 0.51825E-03, 0.43887E-05, 0.57927E-01
 0.52644E-02, 0.50076E-03, 0.38244E-05, 0.14756E+00
 0.52670E-02, 0.48651E-03, 0.37439E-05, 0.21504E-01
 0.52695E-02, 0.46861E-03, 0.36840E-05, 0.16233E-01
 0.52719E-02, 0.45096E-03, 0.37799E-05, 0.25351E-01
 0.52742E-02, 0.44031E-03, 0.34436E-05, 0.97639E-01
 0.52764E-02, 0.41694E-03, 0.33863E-05, 0.16933E-01
 0.52785E-02, 0.40779E-03, 0.35085E-05, 0.34843E-01
 0.52806E-02, 0.39239E-03, 0.35085E-05, 0.21792E-04
 0.52826E-02, 0.38259E-03, 0.32453E-05, 0.81099E-01
